"year","bb","lc","lf","SPP","Tapr","Tsep","Papr","Psep"
1993,121,269,277,"red maple",7.2164459025,14.2,98.7,136.3
1993,114,280,287,"black birch",7.2164459025,14.2,98.7,136.3
1993,128,282,294,"red oak",7.2164459025,14.2,98.7,136.3
1994,129,258,275,"red maple",7.1,14.0165777660246,100.4,97.3
1994,128,281,288,"black birch",7.1,14.0165777660246,100.4,97.3
1994,138,273,287,"red oak",7.1,14.0165777660246,100.4,97.3
1995,129,266,274,"red maple",5.48340342798579,12.5666666666667,45.2,80.2
1995,130,276,287,"black birch",5.48340342798579,12.5666666666667,45.2,80.2
1995,136,279,291,"red oak",5.48340342798579,12.5666666666667,45.2,80.2
1996,121,274,282,"red maple",5.0249327929,15.1666666666667,107.9,159.1
1996,115,284,291,"black birch",5.0249327929,15.1666666666667,107.9,159.1
1996,140,283,290,"red oak",5.0249327929,15.1666666666667,107.9,159.1
1997,130,275,282,"red maple",4.89626135888571,14.468382463,114.1,21.5
1997,132,282,289,"black birch",4.89626135888571,14.468382463,114.1,21.5
1997,139,283,296,"red oak",4.89626135888571,14.468382463,114.1,21.5
1998,115,263,278,"red maple",6.86666666666667,15.6666666666667,58.9,49
1998,121,277,290,"black birch",6.86666666666667,15.6666666666667,58.9,49
1998,126,281,292,"red oak",6.86666666666667,15.6666666666667,58.9,49
1999,125,274,282,"red maple",6.26502777777778,17.1,12.6,246.5
1999,127,279,291,"black birch",6.26502777777778,17.1,12.6,246.5
1999,129,286,297,"red oak",6.26502777777778,17.1,12.6,246.5
2000,128,270,280,"red maple",5.33333333333333,14.7666666666667,99.2,100.3
2000,129,281,291,"black birch",5.33333333333333,14.7666666666667,99.2,100.3
2000,130,283,292,"red oak",5.33333333333333,14.7666666666667,99.2,100.3
2001,122,271,282,"red maple",6.95,15.48,31.6,114.5
2001,124,283,292,"black birch",6.95,15.48,31.6,114.5
2001,124,285,294,"red oak",6.95,15.48,31.6,114.5
2002,126,270,285,"red maple",7.89666666666667,17.09,98.5,87.2
2002,126,286,295,"black birch",7.89666666666667,17.09,98.5,87.2
2002,129,286,302,"red oak",7.89666666666667,17.09,98.5,87.2
2003,128,274,283,"red maple",5.14666666666667,15.7633333333333,96.3,139.3
2003,136,280,291,"black birch",5.14666666666667,15.7633333333333,96.3,139.3
2003,140,284,294,"red oak",5.14666666666667,15.7633333333333,96.3,139.3
2004,124,270,281,"red maple",7.33666666666667,15.9833333333333,153.6,213.5
2004,125,282,292,"black birch",7.33666666666667,15.9833333333333,153.6,213.5
2004,130,282,292,"red oak",7.33666666666667,15.9833333333333,153.6,213.5
2005,123,277,287,"red maple",8.57666666666667,17.1266666666667,144.1,61.5
2005,135,279,294,"black birch",8.57666666666667,17.1266666666667,144.1,61.5
2005,134,288,298,"red oak",8.57666666666667,17.1266666666667,144.1,61.5
2006,124,267,278,"red maple",8.08333333333333,14.6133333333333,41.6,74.9
2006,128,277,283,"black birch",8.08333333333333,14.6133333333333,41.6,74.9
2006,133,279,288,"red oak",8.08333333333333,14.6133333333333,41.6,74.9
2007,126,269,287,"red maple",5.29666666666667,16.33,160.3,75.6
2007,128,276,290,"black birch",5.29666666666667,16.33,160.3,75.6
2007,131,288,298,"red oak",5.29666666666667,16.33,160.3,75.6
2008,122,271,284,"red maple",8.51,15.9333333333333,111.2,197.6
2008,131,276,288,"black birch",8.51,15.9333333333333,111.2,197.6
2008,130,287,300,"red oak",8.51,15.9333333333333,111.2,197.6
2009,120,261,278,"red maple",8.41,14.43,83.2,33.7
2009,123,275,288,"black birch",8.41,14.43,83.2,33.7
2009,122,290,304,"red oak",8.41,14.43,83.2,33.7
2010,110,263,279,"red maple",9.65666666666667,17.0066666666667,30.3,76.2
2010,122,274,292,"black birch",9.65666666666667,17.0066666666667,30.3,76.2
2010,119,289,303,"red oak",9.65666666666667,17.0066666666667,30.3,76.2
2011,125,268,279,"red maple",7.56666666666667,17.03,136.3,214.1
2011,130,280,294,"black birch",7.56666666666667,17.03,136.3,214.1
2011,130,290,303,"red oak",7.56666666666667,17.03,136.3,214.1
2012,109,269,279,"red maple",8.22666666666667,15.3466666666667,56,140.1
2012,124,277,287,"black birch",8.22666666666667,15.3466666666667,56,140.1
2012,130,285,295,"red oak",8.22666666666667,15.3466666666667,56,140.1
2013,122,255,274,"red maple",6.79333333333333,14.73,52.4,90.1
2013,128,277,289,"black birch",6.79333333333333,14.73,52.4,90.1
2013,128,281,289,"red oak",6.79333333333333,14.73,52.4,90.1
2014,135,270,282,"red maple",6.56666666666667,15.2833333333333,128,40.9
2014,136,276,287,"black birch",6.56666666666667,15.2833333333333,128,40.9
2014,135,289,298,"red oak",6.56666666666667,15.2833333333333,128,40.9
